Time, Target Temperature, Current Temperature, Is Furnace On
2017-02-10 16:34:14.542782,74,77.2,False
2017-02-10 16:34:19.549667,74,77.1,False
2017-02-10 16:34:24.558920,74,77.1,False
2017-02-10 16:34:29.568255,74,77.1,False
2017-02-10 16:34:34.573236,74,77.1,False
2017-02-10 16:34:39.583991,74,77.1,False
2017-02-10 16:34:44.595099,74,77.0,False
2017-02-10 16:34:49.604253,74,77.0,False
2017-02-10 16:34:54.615769,74,77.0,False
2017-02-10 16:34:59.625389,74,77.0,False
2017-02-10 16:35:04.630279,72,77.0,False
2017-02-10 16:35:09.639805,72,77.0,False
2017-02-10 16:35:14.647599,72,76.9,False
2017-02-10 16:35:19.653067,72,76.9,False
2017-02-10 16:35:24.662442,72,76.9,False
2017-02-10 16:35:29.672208,72,76.9,False
2017-02-10 16:35:34.679835,72,76.9,False
2017-02-10 16:35:39.688971,72,76.9,False
2017-02-10 16:35:44.693680,72,76.8,False
2017-02-10 16:35:49.703059,72,76.8,False
2017-02-10 16:35:54.712702,72,76.8,False
2017-02-10 16:35:59.722360,72,76.8,False
2017-02-10 16:36:04.732109,72,76.8,False
2017-02-10 16:36:09.737688,72,76.8,False
2017-02-10 16:36:14.744527,72,76.7,False
2017-02-10 16:36:19.753879,72,76.7,False
2017-02-10 16:36:24.764921,72,76.7,False
2017-02-10 16:36:29.770814,72,76.7,False
2017-02-10 16:36:34.781899,72,76.7,False
2017-02-10 16:36:39.793105,72,76.7,False
2017-02-10 16:36:44.804382,72,76.6,False
2017-02-10 16:36:49.813955,72,76.6,False
2017-02-10 16:36:54.824788,72,76.6,False
2017-02-10 16:36:59.835634,72,76.6,False
2017-02-10 16:37:04.844731,72,76.6,False
2017-02-10 16:37:09.854605,72,76.6,False
2017-02-10 16:37:14.865209,72,76.5,False
2017-02-10 16:37:19.875013,72,76.5,False
2017-02-10 16:37:24.880111,72,76.5,False
2017-02-10 16:37:29.886795,72,76.5,False
2017-02-10 16:37:34.891273,72,76.5,False
2017-02-10 16:37:39.895898,72,76.5,False
2017-02-10 16:37:44.901087,72,76.4,False
2017-02-10 16:37:49.910347,72,76.4,False
2017-02-10 16:37:54.919732,72,76.4,False
2017-02-10 16:37:59.928860,72,76.4,False
2017-02-10 16:38:04.936549,72,76.4,False
2017-02-10 16:38:09.944468,72,76.4,False
2017-02-10 16:38:14.949568,72,76.3,False
2017-02-10 16:38:19.954221,72,76.3,False
2017-02-10 16:38:24.964607,72,76.3,False
2017-02-10 16:38:29.974303,72,76.3,False
2017-02-10 16:38:34.983863,72,76.3,False
2017-02-10 16:38:39.994028,72,76.3,False
2017-02-10 16:38:44.998908,72,76.2,False
2017-02-10 16:38:50.006586,72,76.2,False
2017-02-10 16:38:55.016159,72,76.2,False
2017-02-10 16:39:00.025989,72,76.2,False
2017-02-10 16:39:05.035469,72,76.2,False
2017-02-10 16:39:10.044935,72,76.2,False
2017-02-10 16:39:15.055071,72,76.1,False
2017-02-10 16:39:20.064533,72,76.1,False
2017-02-10 16:39:25.074041,72,76.1,False
2017-02-10 16:39:30.083589,72,76.1,False
2017-02-10 16:39:35.093110,72,76.1,False
2017-02-10 16:39:40.102600,72,76.1,False
2017-02-10 16:39:45.109333,72,76.0,False
2017-02-10 16:39:50.115310,72,76.0,False
2017-02-10 16:39:55.125027,72,76.0,False
2017-02-10 16:40:00.130082,70,76.0,False
2017-02-10 16:40:05.139763,70,76.0,False
2017-02-10 16:40:10.149527,70,76.0,False
2017-02-10 16:40:15.159931,70,75.9,False
2017-02-10 16:40:20.169992,70,75.9,False
2017-02-10 16:40:25.181108,70,75.9,False
2017-02-10 16:40:30.187376,70,75.9,False
2017-02-10 16:40:35.198036,70,75.9,False
2017-02-10 16:40:40.208777,70,75.9,False
2017-02-10 16:40:45.218060,70,75.8,False
2017-02-10 16:40:50.224329,70,75.8,False
2017-02-10 16:40:55.234236,70,75.8,False
2017-02-10 16:41:00.244079,70,75.8,False
2017-02-10 16:41:05.253923,70,75.8,False
2017-02-10 16:41:10.263748,70,75.8,False
2017-02-10 16:41:15.268879,70,75.7,False
2017-02-10 16:41:20.277956,70,75.7,False
2017-02-10 16:41:25.287404,70,75.7,False
2017-02-10 16:41:30.296660,70,75.7,False
2017-02-10 16:41:35.306493,70,75.7,False
2017-02-10 16:41:40.311903,70,75.7,False
2017-02-10 16:41:45.317832,70,75.6,False
2017-02-10 16:41:50.326992,70,75.6,False
2017-02-10 16:41:55.333114,70,75.6,False
2017-02-10 16:42:00.342937,70,75.6,False
2017-02-10 16:42:05.349342,70,75.6,False
2017-02-10 16:42:10.358630,70,75.6,False
2017-02-10 16:42:15.367103,70,75.5,False
2017-02-10 16:42:20.376492,70,75.5,False
2017-02-10 16:42:25.387307,70,75.5,False
2017-02-10 16:42:30.394051,70,75.5,False
2017-02-10 16:42:35.405328,70,75.5,False
2017-02-10 16:42:40.416461,70,75.5,False
2017-02-10 16:42:45.427141,70,75.4,False
2017-02-10 16:42:50.434839,70,75.4,False
2017-02-10 16:42:55.444665,70,75.4,False
2017-02-10 16:43:00.453824,70,75.4,False
2017-02-10 16:43:05.460797,70,75.4,False
2017-02-10 16:43:10.465772,70,75.4,False
2017-02-10 16:43:15.470854,70,75.3,False
